"OCCP","mean_age_2016","unemployed_rate_2016","total_employ_2016","employ_prse_2016","jobs_per_1000_2016","mean_hourly_2016","mean_annual_2016","mean_prse_2016","mean_age_2019","unemployed_rate_2019","total_employ_2019","employ_prse_2019","jobs_per_1000_2019","mean_hourly_2019","mean_annual_2019","mean_prse_2019","emp_growth","wage_growth","shortage_ind","shortage","ACS Occupational Title"
"2910",39.821266427718,4.03823178016726,920,11,0.327,18.29,38030,3.3,44.5044843049327,3.10698270339526,880,9.4,0.308,17.8,37020,4.9,0.470948012232416,0.486721009729161,0,"No Shortage","Photographers"
"310",39.3845999397651,4.07087641803032,5570,4.7,1.987,22.97,47780,2.2,38.2906422169229,2.57791300057561,3900,6.7,1.358,24.02,49960,1.5,0.341721187720181,0.522812892423608,0,"No Shortage","Food service managers"
"3255",45.7078897147449,0.836179188429088,55410,4.3,19.753,32.66,67930,1,45.1059997263239,0.880739423041039,61930,2.8,21.579,34.91,72610,0.7,0.546220827216119,0.534447225084646,0,"No Shortage","Registered nurses"
"340",43.6026510480888,12.6078914919852,620,8.5,0.222,26.99,56140,3.9,43.1218274111675,3.67044123389301,400,12.2,0.138,27.96,58160,4.5,0.310810810810811,0.517990737442109,0,"No Shortage","Lodging managers"
"350",49.8940125111707,3.60142984807864,7980,3.7,2.843,46.49,96700,1.2,46.0615200836195,0.134388532178587,5800,2.8,2.022,53.67,111640,1.4,0.355610270840661,0.577249224405377,0,"No Shortage","Medical and health services managers"
"3645",41.2736091298146,7.14217784117927,11810,4,4.209,16.7,34740,1.3,41.9263912723707,7.24442265261093,12420,4.4,4.329,17.91,37250,0.5,0.514255167498218,0.536125503742084,0,"No Shortage","Medical assistants"
"3655",34.9278911564626,15.8673469387755,870,8,0.312,17.59,36590,2.3,36.1336705202312,0.842967244701349,910,5.6,0.318,17.325,36035,1.35,0.509615384615385,0.492415960644985,0,"No Shortage","Other healthcare support workers"
"3930",41.691408988239,4.4707531739232,11660,11.95,4.16,14.11,29345,2.75,43.9417721518987,3.89240506329114,10790,7.05,3.76,14.345,29835,1.8,0.451923076923077,0.508348952121315,0,"No Shortage","Security guards and gambling surveillance officers"
"3940",59.2911676646707,5.61377245508982,1070,4.3,0.381,13.5,28080,2.4,62.1482820976492,2.7124773960217,1040,3.3,0.363,15.12,31460,2.5,0.476377952755905,0.560185185185185,0,"No Shortage","Crossing guards and flaggers"
"4010",37.2259365994236,1.77393531860391,13840,3.6,4.935,14.38,29910,1.4,34.4373218544587,5.13059158862195,18520,3.5,6.452,15.89,33040,1.1,0.653698074974671,0.552323637579405,0,"No Shortage","First-line supervisors of food preparation and serving workers"
"4020",34.8016894476038,5.47906481758622,39720,16.52,14.16,11.564,24050,2.26,35.7817218959732,6.41079418344519,42190,11,14.698,13.03,27102,4,0.518997175141243,0.563451143451143,0,"No Shortage","Cooks"
"4030",30.6271004911918,5.0559515455922,10110,6.4,3.606,10.03,20870,1,33.7566812160196,4.55241595834291,12010,10.9,4.183,11.1,23080,1.6,0.580005546311703,0.55294681360805,0,"No Shortage","Food preparation workers"
"4040",37.966308626326,5.78424177730336,28120,3.7,10.027,9.9,20590,1.3,35.3400394848171,5.06721820062048,26290,4.4,9.159,10.85,22570,1.5,0.456716864465942,0.548081593006314,0,"No Shortage","Bartenders"
"4110",29.4563395873495,7.81402095699807,43190,2.6,15.397,10.28,21390,1.7,29.6145683280515,2.46086622491117,40050,3.5,13.953,10.93,22740,1.7,0.453107748262649,0.531556802244039,0,"No Shortage","Waiters and waitresses"
"4120",41.0938948995363,2.6661514683153,6160,7.5,2.195,10.09,20990,1.2,39.4414960300878,5.68324279147514,4190,7.6,1.46,10.87,22620,1.8,0.332574031890661,0.538828013339686,0,"No Shortage","Food servers, nonrestaurant"
"4130",25.6672112242937,5.516048433596,6500,6.1,2.317,9.08,18890,1.2,23.035901573215,4.96167809600645,5360,8.6,1.866,9.65,20070,1.6,0.402675873974968,0.531233456855479,0,"No Shortage","Dining room and cafeteria attendants and bartender helpers"
"4140",29.2231239259118,6.96009165552797,9850,6.4,3.511,9.04,18810,1,33.2499121574139,2.66163035839775,9700,6.5,3.38,9.79,20360,1.2,0.481344346340074,0.54120148856991,0,"No Shortage","Dishwashers"
"4150",28.9042923433875,2.04949729311678,6280,5.7,2.239,9.07,18860,1,25.1352817113588,9.97288339861404,8410,9.3,2.929,9.9,20600,1.4,0.654086645824029,0.546129374337222,0,"No Shortage","Hosts and hostesses, restaurant, lounge, and coffee shop"
"420",46.4972958827634,3.10537334263782,3860,4.1,1.374,30.42,63270,1.3,43.6140022144621,2.18891065496976,2750,3.9,0.957,33.18,69020,1.1,0.34825327510917,0.545440177019124,0,"No Shortage","Social and community service managers"
"4200",46.245904352143,4.46797948039054,2270,5.6,0.811,19.58,40720,1.6,50.2518610421836,1.0457284650833,2650,5.9,0.924,20.32,42260,2.1,0.569667077681874,0.518909626719057,0,"No Shortage","First-line supervisors of housekeeping and janitorial workers"
"4220",45.4217860982197,1.83801358189779,42990,13.45,15.325,13.56,28205,3.35,45.7278602644953,6.00167978703717,41160,3.1,14.342,13.99,29090,1.1,0.467928221859706,0.515688707675944,0,"No Shortage","Janitors and building cleaners"
"4230",44.5280874396311,3.83093068012637,16170,4.6,5.766,10.44,21720,0.9,44.3619365186561,6.66469694411616,17290,4.8,6.025,12.06,25080,1.1,0.522459243843219,0.577348066298343,0,"No Shortage","Maids and housekeeping cleaners"
"4350",38.6655236907731,6.32793017456359,3270,7.6,1.166,9.73,20240,1.4,37.8721560130011,3.91386782231853,4160,6.4,1.449,11.53,23970,2.5,0.621355060034305,0.592144268774704,1,"Shortage","Animal caretakers"
"4420",37.0757867694284,16.3134232498394,2550,10,0.909,9.25,19240,3,46.8306451612903,17.3211781206171,2880,11.6,1.002,10.36,21550,2.1,0.551155115511551,0.560031185031185,0,"No Shortage","Ushers, lobby attendants, and ticket takers"
"4600",38.7415585321613,0.320915306264825,7170,10.5,2.556,10.33,21480,1.4,38.2539638643068,2.28613569321534,5800,8.5,2.02,11.37,23650,2,0.395148669796557,0.550512104283054,0,"No Shortage","Childcare workers"
"4700",42.5623841834673,2.41595028771265,16110,2.9,5.743,19.47,40490,1.1,44.350264325806,0.853348126876387,17450,2.6,6.079,21.97,45700,1.3,0.529253003656625,0.56433687330205,1,"Shortage","First-line supervisors of retail sales workers"
"4710",49.3418124616329,0.195672191528545,5740,3.2,2.047,40.62,84490,2,47.9647058823529,0.468998410174881,6370,4.9,2.221,45.69,95030,1.6,0.542501221299463,0.562374245472837,1,"Shortage","First-line supervisors of non-retail sales workers"
"4720",31.6308339799205,4.64837412710729,61780,14.45,22.025,10.88,22630,1.35,33.2281562433525,3.98452456924059,65730,5.15,22.904,11.765,24470,1.1,0.519954597048808,0.540653999116217,0,"No Shortage","Cashiers"
"4760",38.393146495225,2.41682791336371,85100,2.2,30.337,12.33,25640,0.9,40.7969016288101,3.93233313776437,78410,3.5,27.32,13.6,28290,1.3,0.45027524145433,0.551677067082683,0,"No Shortage","Retail salespersons"
"4850",45.4170939670075,1.3361071229746,42370,4.25,15.106,38.02,79085,2.35,49.0241178049108,2.47551321615457,41010,5.35,14.288,36.93,76820,2.2,0.47292466569575,0.485679964595056,0,"No Shortage","Sales representatives, wholesale and manufacturing"
"4950",47.0903096330275,1.86353211009174,150,42.9,0.053,13.31,27690,10.6,52.0291079812207,0.782472613458529,0,NA,0,15.38,31980,9.7,0,0.577464788732394,0,"No Shortage","Door-to-door sales workers, news and street vendors, and related workers"
"5000",47.9560094813162,2.3877579475739,27410,1.9,9.773,25.98,54040,0.8,47.3500761894012,3.27332242225859,23780,1.6,8.285,28.42,59110,0.6,0.423871891947201,0.546909696521095,0,"No Shortage","First-line supervisors of office and administrative support workers"
